FECHA;CUENTA;CONCEPTO;IMPORTE;DESCRIPCIÓN
23/01/2025;"Tarjeta";"Ocio";-1,30;"ALMUERZO"
24/01/2025;"Tarjeta";"Ocio";-1,30;"ALMUERZO"
25/01/2025;"Tarjeta";"Comida";-92,13;"MERCADONA"
26/01/2025;"Tarjeta";"Deporte";-6,00;"PÁDEL"
26/01/2025;"Tarjeta";"Variosvivienda";-47,72;"MESA Y VARIOS"
27/01/2025;"TradeRepublic";TRASPASO;-5000,00;"TRASPASO"
27/01/2025;"Coinbase";TRASPASO;5000,00;"TRASPASO"
27/01/2025;"Santander";"Comunidad";-35,88;"COMUNIDAD"
27/01/2025;"Santander";"Comunidad";-45,86;"COMUNIDAD"
27/01/2025;"Tarjeta";"Ocio";-1,20;"ALMUERZO"
28/01/2025;"Tarjeta";"Ocio";-1,30;"ALMUERZO"
28/01/2025;"Sabadell";TRASPASO;-300,00;"TRASPASO"
28/01/2025;"Coinbase";TRASPASO;300,00;"TRASPASO"
28/01/2025;"Sabadell";"Nómina";1952,33;"NÓMINA"
29/01/2025;"Sabadell";TRASPASO;-1652,33;"TRASPASO"
29/01/2025;"TradeRepublic";TRASPASO;1652,33;"TRASPASO"
29/01/2025;"Tarjeta";TRASPASO;-100,00;"TRASPASO"
29/01/2025;"Coinbase";TRASPASO;100,00;"TRASPASO"
29/01/2025;"Tarjeta";"Ocio";-1,30;"ALMUERZO"
30/01/2025;"Tarjeta";"Variosvivienda";-21,36;"VARIOSVIVIENDA"
30/01/2025;"Santander";TRASPASO;-200,00;"TRASPASO"
30/01/2025;"Revolut";TRASPASO;200,00;"TRASPASO"
30/01/2025;"TradeRepublic";"Intereses";0,59;"DIVIDENDO  S&P SMALLCAP"
30/01/2025;"Tarjeta";"Ocio";-1,30;"ALMUERZO"
31/01/2025;"Sabadell";TRASPASO;-1285,75;"TRASPASO"
31/01/2025;"Tarjeta";TRASPASO;1285,75;"TRASPASO"
31/01/2025;"Tarjeta";"Deporte";-9,75;"PÁDEL"
31/01/2025;"TradeRepublic";TRASPASO;-500,00;"TRASPASO"
31/01/2025;"Sabadell";TRASPASO;500,00;"TRASPASO"
31/01/2025;"Tarjeta";"Ocio";-1,30;"ALMUERZO"
31/01/2025;"Santander";TRASPASO;-322,99;"TRASPASO"
31/01/2025;"Sabadell";TRASPASO;322,99;"TRASPASO"
01/02/2025;"Santander";"Alquiler";800,00;"FEBRERO"
01/02/2025;"Naranja";"Intereses";0,01;"INTERESES"
01/02/2025;"TradeRepublic";"Intereses";42,51;"INTERESES"
01/02/2025;"Tarjeta";"Comida";-88,38;"CARREFOUR"
03/02/2025;"Santander";"Comunidad";-60,00;"CASA"
03/02/2025;"TradeRepublic";TRASPASO;-1000,00;"TRASPASO"
03/02/2025;"TradeRepublicFondo";TRASPASO;1000,00;"TRASPASO"
03/02/2025;"Santander";TRASPASO;-500,00;"TRASPASO"
03/02/2025;"Bit2me";TRASPASO;500,00;"TRASPASO"
03/02/2025;"Santander";"Ocio";-1,30;"ALMUERZO"
04/02/2025;"Santander";"Comunes";-303,17;"ENERO"
04/02/2025;"Naranja";TRASPASO;-20000,00;"TRASPASO"
04/02/2025;"TradeRepublicFondo";TRASPASO;20000,00;"TRASPASO"
04/02/2025;"Naranja";TRASPASO;-1000,00;"TRASPASO"
04/02/2025;"Sabadell";TRASPASO;1000,00;"TRASPASO"
04/02/2025;"Santander";"Ocio";-1,30;"ALMUERZO"
04/02/2025;"Naranja";"Intereses";163,31;"INTERESES"
04/02/2025;"Naranja";TRASPASO;-1163,32;"TRASPASO"
04/02/2025;"Santander";TRASPASO;1163,32;"TRASPASO"
04/02/2025;"TradeRepublic";"Otros gastos";-5,00;"COMISIONES"
