id,fecha,descripcion,cantidad,tipo,cuenta,concepto,cuenta_origen,cuenta_destino
id_1751070982012_n11pplg9r,2025-01-03,Gastos diciembre,"-242,87",movimiento,N-Santander,Comunes,,
id_1751070982012_9coppkydo,2025-01-03,SARTENES Y VARIOS,"-40,97",movimiento,D-Tarjeta,Variosvivienda,,
id_1751070982012_6egzuihe0,2025-01-04,Parking,"-1,00",movimiento,N-Efectivo,Varioscoche,,
id_1751070982012_i8lsrk05n,2025-01-04,OCIO,"-27,10",movimiento,N-Santander,Ocio,,
id_1751070982012_wzolbpoaq,2025-01-04,Décimo Niño,"-20,00",movimiento,N-Santander,Lotería,,
id_1751070982012_v8u95ht3l,2025-01-07,Cdad 1er trim,"-30,00",movimiento,N-Santander,Comunidad,,
id_1751070982012_wv814g252,2025-01-04,TRASPASO,"500,00",traspaso,,,D-Sabadell,D-Revolut
id_1751070982012_42o0f5xo6,2025-01-04,TRASPASO,"200,00",traspaso,,,D-Tarjeta,D-Revolut
id_1751070982012_u0kex59c0,2025-01-05,TRASPASO,"68,64",traspaso,,,D-Naranja,D-Ing
id_1751070982012_fsdi5l5qe,2025-01-05,TRASPASO,"126,82",traspaso,,,D-Ing,D-TradeRepublic
id_1751070982012_5l0gbst5y,2025-01-06,ONEPLUS WATCH,"-198,81",movimiento,D-Tarjeta,Regalos,,
id_1751070982012_fionw2n6b,2025-01-07,ALMUERZO,"-1,30",movimiento,D-Tarjeta,Ocio,,
id_1751070982012_xq458igf1,2025-01-07,GARAJE,"-30,00",movimiento,D-Santander,Comunidad,,
id_1751070982012_yvei5f6ac,2025-01-07,TRASPASO,"300,00",traspaso,,,D-Santander,D-Revolut
id_1751070982012_eh7h5vhme,2025-01-07,Lot Niño,"20,00",movimiento,N-Efectivo,Lotería,,
id_1751070982012_3qgt29om3,2025-01-07,Parking Ayto,"-21,00",movimiento,N-Santander,Varioscoche,,
id_1751070982012_k0jwn3y3z,2025-01-08,ALMUERZO,"-1,70",movimiento,D-Efectivo,Ocio,,
id_1751070982012_5wgki92im,2025-01-08,Taronges,"-7,00",movimiento,N-Efectivo,Comida,,
id_1751070982012_yq2x54tbd,2025-01-08,Aigua,"-0,60",movimiento,N-Efectivo,Comida,,
id_1751070982012_d3j9rarbx,2025-01-08,MERCADONA,"-61,61",movimiento,D-Santander,Comida,,
id_1751070982012_p9wzgwiu9,2025-01-09,ALMUERZO,"-1,30",movimiento,D-Santander,Ocio,,
